Method,VenclovasLab.csv_F_Voronota_glob_light_score,VenclovasLab.csv_F_Voronota_glob_dark_score,VenclovasLab.csv_F_Voronota_glob_area,VenclovasLab.csv_F_Voronota_glob_area_per_atom,VenclovasLab.csv_F_Voronota_glob_nonprotein_area,VenclovasLab.csv_F_Voronota_glob_volume,VenclovasLab.csv_F_Voronota_glob_volume_per_atom,VenclovasLab.csv_F_Voronota_glob_energy,VenclovasLab.csv_F_Voronota_glob_energy_norm,VenclovasLab.csv_F_Voronota_glob_energy_per_atom,VenclovasLab.csv_F_Voronota_glob_sas_area,VenclovasLab.csv_F_Voronota_glob_sas_area_per_atom,VenclovasLab.csv_F_Voronota_glob_sas_energy,VenclovasLab.csv_F_Voronota_glob_sas_energy_norm,VenclovasLab.csv_F_Voronota_glob_sas_energy_per_atom,VenclovasLab.csv_F_Voronota_glob_nonsas_area,VenclovasLab.csv_F_Voronota_glob_nonsas_area_per_atom,VenclovasLab.csv_F_Voronota_glob_nonsas_energy,VenclovasLab.csv_F_Voronota_glob_nonsas_energy_norm,VenclovasLab.csv_F_Voronota_glob_nonsas_energy_per_atom,VenclovasLab.csv_F_Voronota_iface_atoms,VenclovasLab.csv_F_Voronota_iface_atoms_light_score,VenclovasLab.csv_F_Voronota_iface_area,VenclovasLab.csv_F_Voronota_iface_energy,VenclovasLab.csv_F_Voronota_iface_energy_norm,VenclovasLab.csv_F_Voronota_iface_energy_per_atom,VenclovasLab.csv_F_Voronota_iface_shelled_energy,VenclovasLab.csv_F_Voronota_iface_shelled_energy_norm,VenclovasLab.csv_F_Voronota_iface_shelled_energy_per_atom,VenclovasLab.csv_F_Voronota_iface_expanded_area,VenclovasLab.csv_F_Voronota_iface_expanded_energy,VenclovasLab.csv_F_Voronota_iface_expanded_energy_norm,VenclovasLab.csv_F_Voronota_iface_expanded_energy_per_atom,VenclovasLab.csv_F_Voronota_iface_expanded_shelled_energy,VenclovasLab.csv_F_Voronota_iface_expanded_shelled_energy_norm,VenclovasLab.csv_F_Voronota_iface_expanded_shelled_energy_per_atom,VenclovasLab.csv_F_Voronota_split_light_score,VenclovasLab.csv_F_Voronota_split_dark_score,VenclovasLab.csv_F_Voronota_split_area,VenclovasLab.csv_F_Voronota_split_area_per_atom,VenclovasLab.csv_F_Voronota_split_volume,VenclovasLab.csv_F_Voronota_split_volume_per_atom,VenclovasLab.csv_F_Voronota_split_energy,VenclovasLab.csv_F_Voronota_split_energy_norm,VenclovasLab.csv_F_Voronota_split_energy_per_atom,VenclovasLab.csv_F_Voronota_split_sas_area,VenclovasLab.csv_F_Voronota_split_sas_area_per_atom,VenclovasLab.csv_F_Voronota_split_sas_energy,VenclovasLab.csv_F_Voronota_split_sas_energy_norm,VenclovasLab.csv_F_Voronota_split_sas_energy_per_atom,VenclovasLab.csv_F_Voronota_split_nonsas_area,VenclovasLab.csv_F_Voronota_split_nonsas_area_per_atom,VenclovasLab.csv_F_Voronota_split_nonsas_energy,VenclovasLab.csv_F_Voronota_split_nonsas_energy_norm,VenclovasLab.csv_F_Voronota_split_nonsas_energy_per_atom,VenclovasLab.csv_F_Voronota_diff_glob_light_score,VenclovasLab.csv_F_Voronota_diff_glob_dark_score,VenclovasLab.csv_F_Voronota_diff_glob_area,VenclovasLab.csv_F_Voronota_diff_glob_area_per_atom,VenclovasLab.csv_F_Voronota_diff_glob_energy,VenclovasLab.csv_F_Voronota_diff_glob_energy_norm,VenclovasLab.csv_F_Voronota_diff_glob_energy_per_atom,VenclovasLab.csv_F_Voronota_diff_glob_volume,VenclovasLab.csv_F_Voronota_diff_glob_volume_per_atom,VenclovasLab.csv_F_Voronota_diff_sas_area,VenclovasLab.csv_F_Voronota_diff_sas_area_per_atom,VenclovasLab.csv_F_Voronota_diff_sas_energy,VenclovasLab.csv_F_Voronota_diff_sas_energy_norm,VenclovasLab.csv_F_Voronota_diff_sas_energy_per_atom,VenclovasLab.csv_F_Voronota_diff_nonsas_area,VenclovasLab.csv_F_Voronota_diff_nonsas_area_per_atom,VenclovasLab.csv_F_Voronota_diff_nonsas_energy,VenclovasLab.csv_F_Voronota_diff_nonsas_energy_norm,VenclovasLab.csv_F_Voronota_diff_nonsas_energy_per_atom,Oliva_rawdata_v3.csv_F_num_of_contacs,Oliva_rawdata_v3.csv_F_PA,Oliva_rawdata_v3.csv_F_PAr,Oliva_rawdata_v3.csv_F_PAl,Oliva_rawdata_v3.csv_F_CA,Oliva_rawdata_v3.csv_F_CAr,Oliva_rawdata_v3.csv_F_CAl,Oliva_rawdata_v3.csv_F_CP,Oliva_rawdata_v3.csv_F_PP,Oliva_rawdata_v3.csv_F_CC,Oliva_rawdata_v3.csv_F_ArAr,Oliva_rawdata_v3.csv_F_AlAl,Oliva_rawdata_v3.csv_F_AlAr,Oliva_rawdata_v3.csv_F_AAr,Oliva_rawdata_v3.csv_F_AAl,Oliva_rawdata_v3.csv_F_AA,Oliva_rawdata_v3.csv_F_fPA,Oliva_rawdata_v3.csv_F_fPAr,Oliva_rawdata_v3.csv_F_fPAl,Oliva_rawdata_v3.csv_F_fCA,Oliva_rawdata_v3.csv_F_fCAr,Oliva_rawdata_v3.csv_F_fCAl,Oliva_rawdata_v3.csv_F_fCP,Oliva_rawdata_v3.csv_F_fPP,Oliva_rawdata_v3.csv_F_fCC,Oliva_rawdata_v3.csv_F_fArAr,Oliva_rawdata_v3.csv_F_fAlAl,Oliva_rawdata_v3.csv_F_fAlAr,Oliva_rawdata_v3.csv_F_fAAr,Oliva_rawdata_v3.csv_F_fAAl,Oliva_rawdata_v3.csv_F_fAA,Oliva_rawdata_v3.csv_F_BSA_Freesasa,Oliva_rawdata_v3.csv_F_BSA_Polar_Freesasa,Oliva_rawdata_v3.csv_F_BSA_Apolar_Freesasa,Oliva_rawdata_v3.csv_F_BSA_naccess,Oliva_rawdata_v3.csv_F_BSA_Polar naccess,Oliva_rawdata_v3.csv_F_BSA_Apolar_naccess,LyonMOBIGroup_MOBI_raw_scores.csv_F_shape,LyonMOBIGroup_MOBI_raw_scores.csv_F_hydro,FurmanLab_interface_analyzer_disulf.csv_F_I-sc,FurmanLab_interface_analyzer_disulf.csv_F_dG-cross/dSASAx100,FurmanLab_interface_analyzer_disulf.csv_F_dG-separated/dSASAx100,FurmanLab_interface_analyzer_disulf.csv_F_dSASA-polar,FurmanLab_interface_analyzer_disulf.csv_F_fa-dun,FurmanLab_interface_analyzer_disulf.csv_F_fa-intra-rep,FurmanLab_interface_analyzer_disulf.csv_F_fa-intra-sol-xover4,FurmanLab_interface_analyzer_disulf.csv_F_sc-value,Kiharalab_feature.csv_F_DFIRE,Kiharalab_feature.csv_F_GOAP,Kiharalab_feature.csv_F_DOVE,Kiharalab_feature.csv_F_GNN-DOVE,Kiharalab_feature.csv_F_ITScore,Kiharalab_feature.csv_F_PhysicsScore,Kiharalab_feature.csv_F_RosettaInterfaceEnergy,Kiharalab_feature.csv_F_VoroMQA,
VenclovasLab.csv_F_Voronota_split_area,0.01330,-0.13484,0.99982,-0.40256,-0.00045,0.99917,-0.35557,-0.95188,-0.11094,-0.02684,0.99157,-0.43778,-0.14032,-0.04374,-0.03876,0.99458,0.42236,-0.96831,0.13955,0.00580,0.25405,-0.42065,0.22251,0.15847,0.41971,0.46032,0.16278,0.42559,0.45861,0.39036,-0.04514,0.22257,0.40486,0.06549,0.36845,0.44503,0.22617,0.08429,1.00000,-0.49683,0.99935,-0.46956,-0.95036,-0.32361,-0.25076,0.99130,-0.52594,-0.20237,-0.20047,-0.21188,0.99402,0.52634,-0.96812,0.06615,-0.13663,-0.43835,-0.42963,-0.21964,0.50656,0.24915,0.48289,0.44780,-0.14138,0.49991,-0.24902,0.50644,0.29040,0.42019,0.41790,0.29680,-0.50205,0.13485,0.25172,0.45536,0.19309,0.15053,0.04245,0.09716,0.24811,0.14285,0.09604,0.36166,0.20479,0.32626,-0.11110,-0.09401,-0.12467,-0.00695,-0.01228,0.01077,0.02428,-0.04948,-0.07613,0.15685,-0.01609,0.01512,0.33865,0.11240,0.26087,-0.16114,-0.26843,-0.25161,-0.09526,-0.15491,-0.06327,0.23735,0.37928,0.10803,0.26986,0.84364,-0.50372,-0.22522,-0.47579,0.20210,0.19652,0.21344,0.35964,0.84185,0.24936,0.97862,-0.38600,-0.96649,-0.98426,0.08323,-0.02396,-0.97875,-0.53869,0.07713,0.03478,
VenclovasLab.csv_F_Voronota_split_area_per_atom,-0.51628,-0.39673,-0.50050,0.94332,-0.00649,-0.51176,0.87808,0.58229,0.55626,0.40758,-0.43336,0.92463,0.12474,0.11644,0.10394,-0.54899,-0.68655,0.58351,0.24393,0.43761,0.04707,0.16184,0.08294,-0.31700,-0.31990,-0.70480,-0.32168,-0.32874,-0.70340,0.03399,-0.18297,-0.15293,-0.64298,-0.28069,-0.26640,-0.70000,-0.76226,-0.65622,-0.49683,1.00000,-0.50939,0.96662,0.59670,0.77323,0.68373,-0.42161,0.98280,0.20026,0.29930,0.35655,-0.55267,-0.83128,0.59048,0.35611,0.62181,0.67670,0.62170,-0.08390,-0.75817,-0.35036,-0.62907,-0.67895,-0.12316,-0.73855,-0.06642,-0.76127,-0.34397,-0.48611,-0.62286,0.03476,0.76076,-0.30365,-0.55667,-0.70696,0.04589,-0.10397,-0.08319,0.07424,-0.08436,0.12663,-0.06120,-0.11547,-0.09076,-0.09729,0.04058,0.31895,0.18116,-0.02911,0.05298,-0.02436,-0.12087,-0.12160,0.05680,-0.11485,0.15926,-0.10528,-0.18799,-0.11874,-0.12293,-0.00708,0.34849,0.13982,-0.04113,0.04731,-0.01919,0.05850,-0.10260,0.16442,0.04491,-0.32252,0.38951,0.43693,0.46229,-0.01334,-0.01463,-0.03097,-0.06849,-0.35059,-0.05872,-0.49953,0.15353,0.55814,0.56820,-0.06376,0.01974,0.56389,0.09182,-0.07990,-0.51918,
VenclovasLab.csv_F_Voronota_split_volume,0.02812,-0.11926,0.99932,-0.41636,-0.00109,0.99992,-0.36174,-0.95836,-0.12567,-0.03971,0.98842,-0.45047,-0.14633,-0.04678,-0.04145,0.99623,0.42990,-0.97375,0.12675,-0.00866,0.24634,-0.41687,0.21522,0.16325,0.41989,0.46483,0.16757,0.42585,0.46310,0.38158,-0.04212,0.22108,0.40932,0.06978,0.36778,0.44966,0.24048,0.10011,0.99935,-0.50939,1.00000,-0.47646,-0.95702,-0.33767,-0.26342,0.98772,-0.53742,-0.20888,-0.20427,-0.21562,0.99582,0.53418,-0.97370,0.05329,-0.15136,-0.44235,-0.43329,-0.21197,0.51225,0.25331,0.48601,0.45174,-0.13359,0.50537,-0.24171,0.51205,0.29377,0.42204,0.42113,0.29024,-0.50749,0.13972,0.25679,0.46007,0.18238,0.14798,0.04189,0.08763,0.24317,0.13000,0.09423,0.35504,0.19951,0.32043,-0.11046,-0.10507,-0.12858,-0.00771,-0.01778,0.01023,0.02706,-0.04669,-0.07811,0.15800,-0.02062,0.01693,0.33932,0.11306,0.26080,-0.15847,-0.27269,-0.25115,-0.09294,-0.15424,-0.06071,0.23057,0.37518,0.10022,0.26276,0.83833,-0.50774,-0.22740,-0.47793,0.18570,0.17848,0.19987,0.35518,0.83075,0.22809,0.97506,-0.37774,-0.96878,-0.98662,0.08371,-0.02461,-0.98117,-0.53387,0.07745,0.04663,
VenclovasLab.csv_F_Voronota_split_volume_per_atom,-0.43947,-0.34592,-0.47317,0.91402,-0.01379,-0.47876,0.93530,0.53498,0.50269,0.35045,-0.40592,0.90433,0.11061,0.13450,0.12376,-0.52206,-0.69044,0.53701,0.13688,0.33897,0.05116,0.16330,0.09035,-0.30628,-0.29544,-0.66991,-0.31253,-0.30609,-0.67053,0.04415,-0.18274,-0.13186,-0.60652,-0.27703,-0.24316,-0.66600,-0.68331,-0.59685,-0.46956,0.96662,-0.47646,1.00000,0.55009,0.71882,0.62441,-0.39407,0.95738,0.18699,0.31071,0.36880,-0.52598,-0.82577,0.54379,0.24055,0.51919,0.64626,0.59352,-0.08623,-0.72855,-0.34600,-0.61080,-0.65532,-0.12136,-0.71056,-0.07497,-0.73532,-0.34468,-0.46704,-0.61051,0.05408,0.74181,-0.29103,-0.48115,-0.66802,0.02887,-0.09991,-0.08703,0.04981,-0.07174,0.09440,-0.05509,-0.12072,-0.10895,-0.09408,0.03868,0.27911,0.18317,-0.02065,0.04770,-0.01733,-0.11008,-0.12391,0.04067,-0.08917,0.14708,-0.09927,-0.17739,-0.12672,-0.11045,-0.01061,0.31670,0.14338,-0.02826,0.04751,-0.00866,0.06560,-0.08079,0.16030,0.05212,-0.29694,0.37294,0.41114,0.43013,-0.08010,-0.09027,-0.08768,-0.03989,-0.37012,-0.16127,-0.49506,0.17674,0.52472,0.54064,-0.06038,0.00855,0.53600,0.07152,-0.07999,-0.45570,
VenclovasLab.csv_F_Voronota_split_energy,-0.21295,-0.06301,-0.95144,0.51154,0.01908,-0.95771,0.43661,0.99717,0.34373,0.25709,-0.92113,0.54359,0.32396,0.20677,0.19296,-0.96466,-0.49865,0.97424,-0.01488,0.13783,-0.17918,0.34800,-0.14784,-0.21304,-0.41794,-0.50095,-0.21733,-0.42425,-0.49914,-0.30178,0.03906,-0.15969,-0.42119,-0.10140,-0.33372,-0.47661,-0.41112,-0.28070,-0.95036,0.59670,-0.95702,0.55009,1.00000,0.53837,0.46651,-0.91706,0.62197,0.39325,0.36881,0.36955,-0.96545,-0.60296,0.97589,0.05859,0.28194,0.47622,0.46678,0.14463,-0.55327,-0.31805,-0.51651,-0.49729,0.06737,-0.54576,0.17375,-0.55397,-0.35882,-0.42426,-0.46857,-0.22222,0.55072,-0.19318,-0.29891,-0.49881,-0.09512,-0.12445,-0.01636,-0.01316,-0.20627,-0.03878,-0.06457,-0.29994,-0.16321,-0.29169,0.12147,0.18601,0.17795,0.03147,0.06816,0.00234,-0.04905,0.03243,0.09004,-0.16435,0.05196,-0.02666,-0.33560,-0.12268,-0.28302,0.14583,0.29995,0.25560,0.08600,0.15558,0.04786,-0.16553,-0.33388,-0.02659,-0.19592,-0.77377,0.53062,0.24553,0.46612,-0.10532,-0.09415,-0.11826,-0.30611,-0.73051,-0.12409,-0.91943,0.31898,0.97223,0.97116,-0.08437,0.02914,0.96355,0.49633,-0.07810,-0.21851,
VenclovasLab.csv_F_Voronota_split_energy_norm,-0.74354,-0.60971,-0.32774,0.71726,0.04607,-0.34045,0.62850,0.51960,0.88098,0.82320,-0.27169,0.71429,0.48651,0.54617,0.53653,-0.36929,-0.55567,0.43558,0.37714,0.52957,0.11801,-0.02618,0.14365,-0.31041,-0.24476,-0.57340,-0.31130,-0.24835,-0.57000,0.11137,-0.06575,0.06189,-0.42152,-0.21692,-0.10819,-0.52293,-0.88970,-0.80558,-0.32361,0.77323,-0.33767,0.71882,0.53837,1.00000,0.98527,-0.25837,0.77017,0.55673,0.68280,0.71614,-0.37345,-0.67359,0.44347,0.46167,0.66799,0.55048,0.53225,-0.14397,-0.61010,-0.38880,-0.52236,-0.59605,-0.17724,-0.59790,-0.13127,-0.61447,-0.39630,-0.33430,-0.57034,0.10699,0.61752,-0.31113,-0.49218,-0.58448,0.15286,-0.04179,0.03682,0.15354,-0.02506,0.19753,0.02088,-0.03212,-0.01955,-0.08279,0.09240,0.33612,0.23866,0.05390,0.12265,0.00507,-0.12050,-0.04820,0.06670,-0.10530,0.14295,-0.06493,-0.16286,-0.09638,-0.18459,0.02223,0.27876,0.14473,0.00157,0.06131,-0.03495,0.12663,-0.03781,0.22640,0.11481,-0.19716,0.35428,0.34210,0.28171,0.06041,0.06694,0.06118,-0.00165,-0.16105,0.07574,-0.31246,0.05562,0.44807,0.40563,-0.03993,0.01335,0.39710,0.07908,-0.05259,-0.73391,
VenclovasLab.csv_F_Voronota_split_energy_per_atom,-0.75533,-0.61917,-0.25484,0.62369,0.05018,-0.26619,0.53076,0.44716,0.88737,0.86058,-0.20950,0.62287,0.50616,0.58451,0.58168,-0.28858,-0.48849,0.35502,0.40246,0.53107,0.13429,-0.07597,0.15658,-0.29794,-0.21169,-0.53398,-0.29727,-0.21317,-0.52955,0.13347,-0.04856,0.10055,-0.36546,-0.20008,-0.06611,-0.47436,-0.87891,-0.79480,-0.25076,0.68373,-0.26342,0.62441,0.46651,0.98527,1.00000,-0.19626,0.68367,0.57200,0.70500,0.74428,-0.29266,-0.60358,0.36301,0.48548,0.65832,0.50848,0.49198,-0.15672,-0.56020,-0.37580,-0.47975,-0.56432,-0.18564,-0.54956,-0.14609,-0.56488,-0.38188,-0.28832,-0.54276,0.12523,0.56891,-0.30281,-0.49546,-0.54907,0.16807,-0.02428,0.05848,0.15654,-0.00827,0.20277,0.03850,-0.01075,-0.00349,-0.06727,0.09533,0.32327,0.23650,0.06743,0.12551,0.01006,-0.11154,-0.03190,0.05743,-0.09640,0.13373,-0.04996,-0.14298,-0.08490,-0.17744,0.02291,0.24577,0.13325,0.00600,0.05467,-0.03993,0.14142,-0.01429,0.23321,0.13103,-0.14649,0.32405,0.31104,0.22628,0.06743,0.07440,0.07042,0.01976,-0.10579,0.09316,-0.23694,0.03007,0.37459,0.32377,-0.02662,0.00943,0.31457,0.05425,-0.03957,-0.74377,
VenclovasLab.csv_F_Voronota_split_sas_area,-0.04128,-0.19686,0.99037,-0.32372,0.00013,0.98706,-0.27823,-0.92018,-0.05023,0.02011,0.99791,-0.35481,-0.12343,-0.02667,-0.02396,0.97244,0.34793,-0.93883,0.16542,0.05315,0.28996,-0.43347,0.25969,0.12915,0.41836,0.42877,0.13306,0.42345,0.42688,0.43208,-0.06843,0.22968,0.37447,0.03611,0.37119,0.41252,0.16673,0.01655,0.99130,-0.42161,0.98772,-0.39407,-0.91706,-0.25837,-0.19626,1.00000,-0.44840,-0.17991,-0.17633,-0.18681,0.97101,0.45293,-0.93785,0.09390,-0.08329,-0.40991,-0.40511,-0.25617,0.46501,0.21961,0.45467,0.41712,-0.17791,0.45968,-0.28623,0.46378,0.26346,0.40218,0.38966,0.33462,-0.45767,0.10559,0.23425,0.42358,0.22534,0.15557,0.04597,0.12362,0.26577,0.17744,0.10648,0.37933,0.21332,0.34323,-0.10539,-0.06297,-0.10161,0.00137,0.00258,0.01352,0.01264,-0.05801,-0.07383,0.15870,-0.00066,0.01244,0.33603,0.10484,0.26016,-0.16680,-0.26021,-0.24769,-0.09771,-0.16037,-0.06966,0.27087,0.40254,0.14458,0.30435,0.86255,-0.47719,-0.20832,-0.46134,0.22520,0.21935,0.23774,0.38692,0.85291,0.27113,0.97000,-0.40119,-0.94306,-0.95762,0.08245,-0.02429,-0.95220,-0.56415,0.07209,-0.01624,
VenclovasLab.csv_F_Voronota_split_sas_area_per_atom,-0.48500,-0.38151,-0.52969,0.90946,-0.00684,-0.53988,0.85389,0.60774,0.53939,0.39648,-0.46061,0.93441,0.13506,0.12687,0.11680,-0.57940,-0.79061,0.60792,0.17923,0.40868,0.05025,0.17866,0.08304,-0.31132,-0.31336,-0.71566,-0.31659,-0.32260,-0.71475,0.03429,-0.16719,-0.13487,-0.64718,-0.27064,-0.25349,-0.70940,-0.74225,-0.64799,-0.52594,0.98280,-0.53742,0.95738,0.62197,0.77017,0.68367,-0.44840,1.00000,0.21294,0.31592,0.37774,-0.58332,-0.91964,0.61448,0.28988,0.59783,0.68905,0.63319,-0.08191,-0.77976,-0.35513,-0.65302,-0.69681,-0.12648,-0.76289,-0.06646,-0.78573,-0.35604,-0.50215,-0.64600,0.03834,0.79033,-0.29470,-0.52604,-0.71518,0.05184,-0.08204,-0.04702,0.07141,-0.07959,0.11430,-0.04648,-0.11023,-0.08422,-0.10971,0.07242,0.29281,0.19600,0.00543,0.05926,-0.00822,-0.09509,-0.08124,0.04441,-0.11190,0.12927,-0.08880,-0.18627,-0.11455,-0.14406,0.02747,0.30115,0.15425,-0.00359,0.05554,-0.00268,0.05583,-0.09906,0.15771,0.04163,-0.33984,0.40285,0.44014,0.47342,-0.01129,-0.01259,-0.01513,-0.06599,-0.36786,-0.05027,-0.52223,0.16118,0.58973,0.59774,-0.06460,0.01915,0.59526,0.10719,-0.08839,-0.48652,
VenclovasLab.csv_F_Voronota_split_sas_energy,-0.23683,-0.22533,-0.20452,0.16633,0.04873,-0.21046,0.14070,0.37894,0.52642,0.53958,-0.18720,0.18055,0.97165,0.83050,0.79302,-0.21612,-0.17351,0.17775,-0.18472,-0.13163,0.05889,0.05766,0.07005,-0.19811,-0.18344,-0.20031,-0.19782,-0.18462,-0.20004,0.03155,0.08397,0.13165,-0.06251,-0.07404,-0.04043,-0.14505,-0.28860,-0.29635,-0.20237,0.20026,-0.20888,0.18699,0.39325,0.55673,0.57200,-0.17991,0.21294,1.00000,0.87692,0.81199,-0.21833,-0.21501,0.18307,-0.14608,-0.05878,0.18597,0.19386,-0.06768,-0.19620,-0.29151,-0.22602,-0.24608,-0.09797,-0.20085,-0.06214,-0.19932,-0.31997,-0.07298,-0.26313,0.05148,0.20348,-0.19285,-0.09065,-0.19877,0.18794,0.07721,0.14759,0.16473,0.04463,0.13658,0.09788,0.04356,0.07272,-0.07567,0.10606,0.21022,0.20861,0.10679,0.17803,0.07370,-0.00495,0.01577,0.04911,-0.05306,-0.00161,-0.03984,-0.13230,-0.03169,-0.21540,0.05991,0.15415,0.12575,0.05020,0.11361,0.02508,0.06106,-0.05150,0.13255,0.04487,-0.17712,0.24078,0.07849,0.05831,0.06057,0.06525,0.07557,-0.01532,-0.09725,0.13560,-0.21775,0.01682,0.29093,0.22696,-0.02643,-0.01416,0.22820,0.27565,-0.02545,-0.22113,
VenclovasLab.csv_F_Voronota_split_sas_energy_norm,-0.27114,-0.23113,-0.20257,0.24922,0.04567,-0.20584,0.25256,0.35104,0.61530,0.62389,-0.18347,0.26657,0.83150,0.93317,0.91882,-0.21565,-0.24815,0.18022,-0.23777,-0.15425,0.05494,0.06913,0.07009,-0.22096,-0.20930,-0.30235,-0.22142,-0.21227,-0.30188,0.03105,0.08655,0.16743,-0.09932,-0.08918,-0.04046,-0.22255,-0.36787,-0.35804,-0.20047,0.29930,-0.20427,0.31071,0.36881,0.68280,0.70500,-0.17633,0.31592,0.87692,1.00000,0.97957,-0.21786,-0.31432,0.18616,-0.18325,-0.04854,0.28926,0.31160,-0.06558,-0.29198,-0.32837,-0.33185,-0.37000,-0.09840,-0.29644,-0.06072,-0.29794,-0.36299,-0.12157,-0.39610,0.05128,0.30654,-0.21268,-0.13652,-0.29816,0.14809,0.04370,0.12402,0.12918,0.02284,0.10865,0.06679,-0.01768,0.01973,-0.11854,0.12579,0.22541,0.22662,0.11027,0.16268,0.06754,-0.02834,0.02150,0.03857,-0.05019,0.02007,-0.03508,-0.17587,-0.05571,-0.23834,0.07267,0.18761,0.14934,0.06830,0.12437,0.02617,0.05766,-0.06501,0.13668,0.04244,-0.17995,0.24044,0.14418,0.07990,0.01745,0.01946,0.03582,-0.02189,-0.13170,0.04577,-0.22251,0.06046,0.28151,0.22801,-0.02142,-0.03665,0.22605,0.21175,-0.03710,-0.26852,
VenclovasLab.csv_F_Voronota_split_sas_energy_per_atom,-0.28222,-0.23558,-0.21447,0.28948,0.03838,-0.21754,0.29210,0.34969,0.61895,0.62508,-0.19567,0.31053,0.75699,0.89661,0.90542,-0.22716,-0.29091,0.19571,-0.23769,-0.13810,0.07650,0.07672,0.09383,-0.24867,-0.21749,-0.37119,-0.24940,-0.22100,-0.37062,0.05564,0.06287,0.16265,-0.14374,-0.11784,-0.04696,-0.28356,-0.40975,-0.39472,-0.21188,0.35655,-0.21562,0.36880,0.36955,0.71614,0.74428,-0.18681,0.37774,0.81199,0.97957,1.00000,-0.22988,-0.37863,0.20237,-0.17353,-0.01275,0.35580,0.37972,-0.08844,-0.36238,-0.35492,-0.39562,-0.44503,-0.12389,-0.36712,-0.08359,-0.37049,-0.38796,-0.16742,-0.47197,0.07381,0.38249,-0.23764,-0.17653,-0.36547,0.15669,0.04504,0.11851,0.13130,0.03352,0.11365,0.06272,-0.02355,0.01202,-0.11639,0.13057,0.24979,0.24587,0.11504,0.16783,0.07185,-0.03086,0.01816,0.03250,-0.04469,0.02027,-0.03582,-0.17859,-0.06337,-0.23602,0.06810,0.19465,0.15473,0.06764,0.12431,0.02601,0.07746,-0.05258,0.15919,0.06261,-0.17605,0.26327,0.18495,0.11242,0.01456,0.01592,0.03006,-0.00541,-0.14159,0.03598,-0.23056,0.06771,0.28693,0.23837,-0.01337,-0.03787,0.23615,0.17009,-0.04219,-0.27815,
VenclovasLab.csv_F_Voronota_split_nonsas_area,0.05839,-0.08162,0.99447,-0.46265,-0.00092,0.99604,-0.41504,-0.96562,-0.15984,-0.06543,0.97324,-0.50083,-0.15249,-0.05732,-0.05052,0.99981,0.47854,-0.97999,0.11624,-0.03355,0.22091,-0.40446,0.18873,0.18069,0.41530,0.48041,0.18528,0.42175,0.47887,0.35060,-0.02523,0.21373,0.42473,0.08900,0.36133,0.46613,0.27249,0.13936,0.99402,-0.55267,0.99582,-0.52598,-0.96545,-0.37345,-0.29266,0.97101,-0.58332,-0.21833,-0.21786,-0.22988,1.00000,0.58028,-0.98047,0.04226,-0.17908,-0.45617,-0.44429,-0.18644,0.53434,0.27037,0.49993,0.46734,-0.10922,0.52668,-0.21488,0.53515,0.30892,0.42959,0.43582,0.26151,-0.53225,0.15734,0.26290,0.47572,0.16379,0.14436,0.03897,0.07394,0.23019,0.11227,0.08612,0.34223,0.19501,0.30788,-0.11437,-0.11851,-0.14215,-0.01376,-0.02445,0.00834,0.03361,-0.04174,-0.07703,0.15325,-0.02867,0.01713,0.33637,0.11719,0.25803,-0.15431,-0.27171,-0.25154,-0.09197,-0.14834,-0.05714,0.20642,0.35498,0.07630,0.23769,0.81682,-0.51909,-0.23627,-0.48150,0.18028,0.17499,0.19047,0.33227,0.82156,0.22802,0.97286,-0.36830,-0.97317,-0.99338,0.08277,-0.02336,-0.98786,-0.51047,0.08029,0.07663,
VenclovasLab.csv_F_Voronota_split_nonsas_area_per_atom,0.36174,0.30452,0.52982,-0.73110,0.00678,0.53654,-0.70261,-0.59080,-0.44042,-0.32652,0.46470,-0.84593,-0.14121,-0.13422,-0.13048,0.57631,0.91945,-0.58872,-0.02066,-0.29936,-0.05115,-0.19353,-0.07353,0.26282,0.26281,0.65505,0.26873,0.27181,0.65530,-0.03092,0.11409,0.08067,0.58045,0.21762,0.19640,0.64642,0.61288,0.55470,0.52634,-0.83128,0.53418,-0.82577,-0.60296,-0.67359,-0.60358,0.45293,-0.91964,-0.21501,-0.31432,-0.37863,0.58028,1.00000,-0.59367,-0.11515,-0.47693,-0.63472,-0.58357,0.06810,0.73449,0.32374,0.62758,0.65331,0.11875,0.72544,0.05875,0.74584,0.34008,0.47755,0.61966,-0.04146,-0.76077,0.24119,0.39938,0.64902,-0.05841,0.02582,-0.03541,-0.05703,0.06013,-0.07470,0.00973,0.08618,0.06048,0.12328,-0.13164,-0.20298,-0.20465,-0.07826,-0.06568,-0.02706,0.02915,-0.01408,-0.01287,0.09255,-0.05038,0.04338,0.16082,0.09223,0.17215,-0.09773,-0.16526,-0.16691,-0.07667,-0.06655,-0.03276,-0.04361,0.07994,-0.12500,-0.02978,0.33692,-0.38410,-0.39552,-0.44172,0.00561,0.00677,-0.02031,0.05296,0.36156,0.02642,0.50944,-0.15860,-0.58794,-0.59066,0.05882,-0.01566,-0.59235,-0.12734,0.09611,0.36015,
